Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 77 <size 188, parent 47, gen gap 1, avg score 123.514, runs 12<
  Program 78 <size 188, parent 49, gen gap 1, avg score 117.517, runs 5.5<
  Program 79 <size 186, parent 43, gen gap 1, avg score 118.845, runs 19.125<
  Program 80 <size 185, parent 7, gen gap 1, avg score 103.263, runs 27.25<
  Program 81 <size 186, parent 37, gen gap 1, avg score 88.9679, runs 7.5<
  Program 82 <size 186, parent 16, gen gap 1, avg score 70.3179, runs 2<
  Program 83 <size 186, parent 65, gen gap 1, avg score 122.97, runs 25.6875<
  Program 84 <size 186, parent 80, gen gap 1, avg score 99.3059, runs 18<
  Program 85 <size 188, parent 35, gen gap 1, avg score 9.90958, runs 27<
  Program 86 <size 186, parent 32, gen gap 1, avg score 69.9619, runs 4<
  Program 87 <size 186, parent 15, gen gap 1, avg score 133.211, runs 5<
  Program 88 <size 187, parent 59, gen gap 1, avg score 103.669, runs 14.75<
  Program 89 <size 186, parent 12, gen gap 1, avg score 70.3179, runs 2<
  Program 90 <size 188, parent 38, gen gap 1, avg score 92.2689, runs 22<
  Program 91 <size 186, parent 16, gen gap 1, avg score 113.515, runs 5<
  Program 92 <size 185, parent 9, gen gap 1, avg score 100.849, runs 13.25<
  Program 93 <size 188, parent 41, gen gap 1, avg score 96.2724, runs 8<
  Program 94 <size 187, parent 39, gen gap 1, avg score 84.1978, runs 29.9375<
  Program 95 <size 186, parent 12, gen gap 1, avg score 122.493, runs 12.25<
  Program 96 <size 187, parent 54, gen gap 1, avg score 66.5336, runs 4<
  Program 97 <size 183, parent 2, gen gap 1, avg score 20.8041, runs 13<
  Program 98 <size 187, parent 51, gen gap 1, avg score 44.9182, runs 7.5<
  Program 99 <size 189, parent 94, gen gap 1, avg score 15.1272, runs 17.5<
  Program 100 <size 191, parent 90, gen gap 1, avg score 52.6662, runs 5<
  Program 101 <size 187, parent 54, gen gap 1, avg score 121.821, runs 6<
  Program 102 <size 187, parent 76, gen gap 1, avg score 128.007, runs 7<
  Program 103 <size 186, parent 15, gen gap 1, avg score 121.222, runs 20.3125<
  Program 104 <size 185, parent 18, gen gap 1, avg score 123.442, runs 6<
  Program 105 <size 187, parent 76, gen gap 1, avg score 105.923, runs 18.4688<
